category,title,price,image_link,product_link
tabs,Samsung Galaxy Tab S10 Ultra 12 GB RAM 256 GB ROM 14.6 inch with Wi-Fi Only Gaming Tablet (Moonstone G...,"₹36,000",https://rukminim2.flixcart.com/image/312/312/xif0q/tablet/y/z/w/sm-x926b-samsung-original-imah5fwh9cgpdrgx.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-tab-s10-ultra-12-gb-ram-256-rom-14-6-inch-wi-fi-only-gaming-tablet-moonstone-gray/p/itmf42bac1e9268b?pid=TABH4WDDJBEATQBD&lid=LSTTABH4WDDJBEATQBDWKNTBC&marketplace=FLIPKART&q=tabs&store=tyy%2Fhry&srno=s_1_11&otracker=search&fm=organic&iid=en_qlwPi6OOcHN1fS6cAu_WVoXCmiSntVyVmOMwVf7BDgt2bAfXAsJVUs8NN6CSCQRy8nWzfHE0WyCe1Vp7VTAbvhhTy0lUJ14SzoMSv_CzLF0%3D&ppt=None&ppn=None&ssid=8m6g3ycdkg0000001761824934840&qH=5db8dca30c2d7f0c
mobiles,"Google Pixel 10 (Frost, 256 GB)","₹79,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/e/2/-original-imahfjsfgu7vjkvw.jpeg?q=70,https://www.flipkart.com/google-pixel-10-frost-256-gb/p/itm180af25bcc197?pid=MOBHEXHRXDGMF8XZ&lid=LSTMOBHEXHRXDGMF8XZLWA2ZF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=en_veB3GBQFnzszpU9LT9Bf5ovQVLuwXTMEIsIk75xjudJNfk00cRvo85YQT4EXBTGlmHrl1yTACIPu0KatwnsiCA891ypMzu4_aryI8_sihJ8%3D&ppt=None&ppn=None&ssid=xduk06t2kw0000001761824935098&qH=eb4af0bf07c16429
laptops,Infinix B15 Series AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) BL51A5 Thin and Li...,"₹22,000",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/1/e/-original-imahesw8ggurgyru.jpeg?q=70,https://www.flipkart.com/infinix-b15-series-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-bl51a5-thin-light-laptop/p/itm44fad3bb6bbe7?pid=COMHESUZH4NYW9NT&lid=LSTCOMHESUZH4NYW9NTMB5CBK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=en_GC014NB36YGCo0JzmAbXDbhtuK-opjXfwNg0vdA5viT07GXTEZD8t5EC-hUJdE8Mdrp2C6hhLKvW6HVXbimgMH3Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=idutuwr48w0000001761824935062&qH=c06ea84a1e3dc3c6
tabs,MOTOROLA Pad 60 Pro 12 GB RAM 256 GB ROM 12.7 inch with Wi-Fi Only Gaming Tablet (PANTONE Bronze Green...,"₹19,080",https://rukminim2.flixcart.com/image/312/312/xif0q/tablet/o/x/w/zag20000in-motorola-original-imahb8mhhnfgf9zy.jpeg?q=70,https://www.flipkart.com/motorola-pad-60-pro-12-gb-ram-256-rom-12-7-inch-wi-fi-only-gaming-tablet-pantone-bronze-green/p/itm1e6ae470b6250?pid=TABHBFQAZAKNQHFH&lid=LSTTABHBFQAZAKNQHFHWAMA3O&marketplace=FLIPKART&q=tabs&store=tyy%2Fhry&srno=s_1_12&otracker=search&fm=organic&iid=en_qlwPi6OOcHN1fS6cAu_WVoXCmiSntVyVmOMwVf7BDgtSFAK-H_7geArT6RQ3kPqILXVlKxCabuHq4DTpgdmY5UKsf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=8m6g3ycdkg0000001761824934840&qH=5db8dca30c2d7f0c
mobiles,"POCO M7 5G  - Locked with Airtel Prepaid (Satin Black, 128 GB)","₹12,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/g/u/-original-imahfbtfuy2vdsda.jpeg?q=70,https://www.flipkart.com/poco-m7-5g-locked-airtel-prepaid-satin-black-128-gb/p/itma98bb9c85c53b?pid=MOBH9HFJQWGBTEY3&lid=LSTMOBH9HFJQWGBTEY3V7HLRS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=821853b8-bf74-4442-958d-19eca0091f9a.MOBH9HFJQWGBTEY3.SEARCH&ppt=None&ppn=None&ssid=xduk06t2kw0000001761824935098&qH=eb4af0bf07c16429
laptops,Samsung Galaxy Book5 AI Metal Intel Core Ultra 5 225U - (16 GB/512 GB SSD/Windows 11 Home) NP750XHD Th...,"₹22,000",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/n/q/-original-imahgwkqrdsdqfqz.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-book5-ai-metal-intel-core-ultra-5-225u-16-gb-512-gb-ssd-windows-11-home-np750xhd-thin-light-laptop/p/itmc33d2563d0ffc?pid=COMHE4ATPCZ9FXRP&lid=LSTCOMHE4ATPCZ9FXRP7N1GVG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=cfdfda54-d1f9-43fd-8e00-5cbd35d19c5b.COMHE4ATPCZ9FXRP.SEARCH&ppt=None&ppn=None&ssid=idutuwr48w0000001761824935062&qH=c06ea84a1e3dc3c6
tabs,Samsung Galaxy Tab S9 FE+ 8 GB RAM 128 GB ROM 12.4 Inch with Wi-Fi Only Tablet (Gray),"₹55,999",https://rukminim2.flixcart.com/image/312/312/xif0q/tablet/8/i/q/-original-imaguyffv34ghmky.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-tab-s9-fe-8-gb-ram-128-rom-12-4-inch-wi-fi-only-tablet-gray/p/itmacf5e87940ecc?pid=TABGTDU7NPEPHYGF&lid=LSTTABGTDU7NPEPHYGFH3CNRR&marketplace=FLIPKART&q=tabs&store=tyy%2Fhry&srno=s_1_13&otracker=search&fm=organic&iid=184e4ea7-5344-4de3-aa80-8cfc1272d6a0.TABGTDU7NPEPHYGF.SEARCH&ppt=None&ppn=None&ssid=8m6g3ycdkg0000001761824934840&qH=5db8dca30c2d7f0c
mobiles,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)","₹15,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/r/y/-original-imahfw4vez79uubg.jpeg?q=70,https://www.flipkart.com/oppo-k13x-5g-6000mah-45w-supervooc-charger-ai-sunset-peach-128-gb/p/itm62b2e62fbb43e?pid=MOBHDY9PFEUDUVBH&lid=LSTMOBHDY9PFEUDUVBH9J1IMA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=821853b8-bf74-4442-958d-19eca0091f9a.MOBHDY9PFEUDUVBH.SEARCH&ppt=None&ppn=None&ssid=xduk06t2kw0000001761824935098&qH=eb4af0bf07c16429
laptops,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹22,000",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/l/v/-original-imahgfdffszmurd7.jpeg?q=70,https://www.flipkart.com/asus-vivobook-15-2025-office-2024-m365-basic-backlit-keyboard-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-x1504va-bq343ws-thin-light-laptop/p/itmdf2737816fe85?pid=COMHEZZTGEZXHS63&lid=LSTCOMHEZZTGEZXHS63518EOD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=cfdfda54-d1f9-43fd-8e00-5cbd35d19c5b.COMHEZZTGEZXHS63.SEARCH&ppt=None&ppn=None&ssid=idutuwr48w0000001761824935062&qH=c06ea84a1e3dc3c6
tabs,REDMI  Pad Pro 6 GB RAM 128 GB ROM 12.1 inch with Wi-Fi Only Tablet (Graphite Grey),"₹15,615",https://rukminim2.flixcart.com/image/312/312/xif0q/tablet/x/5/1/-original-imahbzz4rkzweydu.jpeg?q=70,https://www.flipkart.com/redmi-pad-pro-6-gb-ram-128-rom-12-1-inch-wi-fi-only-tablet-graphite-grey/p/itmf69c2b73a4b37?pid=TABH32JHNMHX6WZM&lid=LSTTABH32JHNMHX6WZMXGFIEG&marketplace=FLIPKART&q=tabs&store=tyy%2Fhry&srno=s_1_14&otracker=search&fm=organic&iid=184e4ea7-5344-4de3-aa80-8cfc1272d6a0.TABH32JHNMHX6WZM.SEARCH&ppt=None&ppn=None&ssid=8m6g3ycdkg0000001761824934840&qH=5db8dca30c2d7f0c
