Video URL,Comment Number,Comment Text
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,59,I love your way.I am being birthday as
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,9,Aslan yine yargı dağıtmış senin oyununu severek izliyorum kral insanı ekrana kilitliyorsun bir seni takip ediyorum birde daylesi o da senin arkadaşın diye KING RICH
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,11,brother nice gameplay
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,10,"Wow My Best Hero. Amazing, I fell in love with your game."
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,12,Op brobig fan
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,60,
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,11,Я Твой фанаты  бро я всё твой видео видел давно год ты лучше
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,13,The best
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,12,Shiiit I got recommended this and I love iy
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,61,𝐡𝐢𝐢
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,14,Thank you pro for 50 subscribe
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,13,16:54 Nice Shot  16:54
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,15,Asalett
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,14,"Pro player ×
Pro hacker √"
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,16,A want same tip and trik
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,15,oğlum adam bir tane adam öldürdü adama küfür yağdırdılar ya bu türler var ya ah Türkler ben kendim bile türk'üm utanıyorum kendimden ya adam sizi öldürmüş
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,16,What the heck...I didn't even see there any players..but yo just killed him from that long..is there any aimbot you are using..may be you are using it
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,17,️
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,62,
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,17,Youtube channel open karlo bhai aap achay player ho
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,63,how do you see
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,64,Kya Mari yaar achcha Sharma bahut achcha bada yaar man karta hai ki tum ko tumhari puja mubarak too much
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,18,Nice bro ️️️️️
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,18,Nice arr  4:23 4:23
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,1,Thanks for 417 subscribers
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,19,hey bro how's life going you're playing awesome can you give me your layout code please
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,19,
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,20,Only awm gameplay bro
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,1,Wow flying sniper shot mast tha bro
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,65,
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,20,
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,2,"Thanks for supporting 
Daily new 8k gaming subscribe"
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,66,
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,3,you play so well PUBG is afraid to ban you
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,21,เยี่ยม
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,2,Como creas portadas hasi en Youtube
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,67,"Jangan lupa like, coment dan subscribe untuk channel YouTube SQUAD DOSA yah guys ehhe"
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,21,"I Like Your Video 
Bro 
Love it"
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,4,At 11 that apartment Sheild Amr Shot
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,22,"You're my inspiration brother, always the best"
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,22,Kya hua bro Sniper chalana bhul gaye kya
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,68,Bad luck
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,23,Çok iyii vıdeoo
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,23,first
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,24,P 64 kil karke to dikha kahan per hai 64 ke
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,3,Thanks for 271 subscribes
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,69,
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,70,No recoil at all..... He is hacker
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,24,Real Madrid  or Barselona
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,5,أسطورى وبارع فى أسنبرات
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,71,"هي هكر ولا لعب عادي 
كيف يقدر يعمل كل هالامور 
وقت تحول لسخص ضخم وقت طال بالسما"
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,25,Play a match with faith
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,25,Good gameplay
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,26,Players now
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,4,Op bro  big fan
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,26,Haw bran Best player in PUBG
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,72,Bhai mujhe bhi ak gaming phon gift  kar do mujhe bhi aap hi ki tarah gamar banna hai please bhai ignore mat karna bahut umid lekar message kar raha hu aapko please  help me
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,5,RiCH MonSter
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,73,How u get more fov?
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,74,Bgmi king every game
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,27,"Pubg smoothness 
Bgmi smoothness"
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,6,Best play bro as always
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,27,เยี่ยม️
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,6,20:04 Bro  You Broke The Kids Heart  20:04
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,28,Hi
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,7,Og rich
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,7,Bro live pe khelo n.tumko full support denge bhai.
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,75,Idol... world best player pubg
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,29,abi beni eklersin sana istek atamadlm
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,28,Bro only DBS SHOT GUN CHALLENGE PLS
https://www.youtube.com/watch?v=97jvvjnDleg&pp=ygUEUFVCRw%3D%3D,30,where are you from
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,8,Aslan kardeşim özledik seni
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,76,Your player 120 freem
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,29,You deserve a follow man
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,77,عقل نسب
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,9,ggg bro
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,78,"Inko foot step 300 mtr dur aa jata he 
Location pata hota he isko bande ka"
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,30,Hy Rich
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,10,Big fan bro
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,8,Nice bro
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,31,Bhai Kya main Aapka video upload kar sakta hu
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,79,Thank you
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,9,Last reviving destroy
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,32,"""It was a great match, well played!"""
https://www.youtube.com/watch?v=i5jXumrKtSA&pp=ygUEUFVCRw%3D%3D,80,How are u playing with good wifi
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,10,يارب العالمين اللهم اغفر لنا ولكم بالمثل يارب
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,33,In next videoSensitivity and control reveal bro
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,11,NICE GAMING!!
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,11,
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,34,RiCH MonSter
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,12,Real player se panga bhari bada bhai
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,35,Bro please Awm+Mg3 on play
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,12,
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,36,1000 UC per KILL Challenge for Levinho
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,13,‏‪0:06‬‏ 0:06
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,37,Halo rich vai
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,13,
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,14,Amr ka shot behtarin tha
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,14,Thanks for 1017 Subscriber's 🥹
https://www.youtube.com/watch?v=3HmL91l_PHw&pp=ygUEUFVCRw%3D%3D,38,5:31  5:31
https://www.youtube.com/watch?v=FS0FssGNFss&pp=ygUEUFVCRw%3D%3D,15,Love from india
https://www.youtube.com/watch?v=RbKMzpW-zhQ&pp=ygUEUFVCRw%3D%3D,15,Rich bhai big fan from ODISHA
